"country","aipi_score","digital_score","innovation_score","human_capital_score","regulation_score"
"AGO",0.25965924188495,0.057157389819622,0.085128732025623,0.068584576249123,0.048788543790579
"ALB",0.52679254114628,0.11438773572445,0.12576240301132,0.14124451577663,0.14539788663387
"ARE",0.62818463146687,0.1519383341074,0.15091055631638,0.15436471998692,0.17097102105618
"ARG",0.47380943596363,0.13022059202194,0.088058702647686,0.11706056445837,0.13846957683563
"ARM",0.49288668483496,0.11967199295759,0.11540658771992,0.12327387928963,0.13453422486782
"AUS",0.72710032761097,0.18218323588371,0.16190110146999,0.17124161124229,0.21177437901497
"AUT",0.72456575930119,0.19374297559261,0.17384338378906,0.15903098881245,0.19794841110706
"AZE",0.4709397777915,0.11073476076126,0.10006237030029,0.14725781977177,0.11288482695818
"BDI",0.29458386823535,0.044495660811663,0.071255698800087,0.10841347277164,0.070419035851955
"BEL",0.67247784137726,0.17467841506004,0.17237295210361,0.16408167779446,0.16134479641914
"BEN",0.36316419392824,0.066083803772926,0.097438856959343,0.10162904113531,0.098012492060661
"BFA",0.31181989982724,0.056242469698191,0.080844655632973,0.07948350161314,0.095249272882938
"BGD",0.38406448811293,0.087450683116913,0.10748774558306,0.088801264762878,0.10032479465008
"BGR",0.57729011774063,0.14914529025555,0.13506707549095,0.14832343161106,0.14475432038307
"BHR",0.51525521278381,0.11866585165262,0.14245516061783,0.14959295094013,0.10454124957323
"BHS",0.45751246064901,0.11173105984926,0.081716321408749,0.11516305059195,0.14890202879906
"BIH",0.42791310697794,0.1133346259594,0.1097269281745,0.11674146354198,0.088110089302063
"BLR",0.47078057378531,0.14583532512188,0.1133942976594,0.13628233969212,0.075268611311913
"BLZ",0.42262690514326,0.092889793217182,0.095114596188068,0.12669835984707,0.10792415589094
"BOL",0.37660475820303,0.087617918848991,0.092190504074097,0.12119730561972,0.075599029660225
"BRA",0.50134041905403,0.13913251459599,0.10798208415508,0.115483045578,0.13874277472496
"BRB",0.50465597957373,0.10041929036379,0.1241939663887,0.12500694394112,0.15503577888012
"BRN",0.49525272101164,0.11878547817469,0.10850394517183,0.14603245258331,0.12193084508181
"BTN",0.44191746413708,0.087852098047733,0.093372173607349,0.11515894532204,0.14553424715996
"BWA",0.41284810006618,0.081379868090153,0.11399831622839,0.10599353164434,0.1114763841033
"CAF",0.18443748541176,0.01827753148973,0.090367443859577,0.032241232693195,0.043551277369261
"CAN",0.71315135061741,0.17194965481758,0.16084165871143,0.17478312551975,0.20557691156864
"CHE",0.75701242685318,0.18979547917843,0.17185404896736,0.18783612549305,0.20752677321434
"CHL",0.58575116842985,0.14755855500698,0.12424724549055,0.14446820318699,0.16947716474533
"CHN",0.63545440137386,0.19010217487812,0.14708356559277,0.14991983771324,0.14834882318974
"CIV",0.36550394445658,0.081721000373363,0.080535598099232,0.10363693535328,0.099610410630703
"CMR",0.34128637611866,0.067646443843842,0.091108001768589,0.10462947934866,0.07790245115757
"COD",0.24747366458178,0.037818163633347,0.074247322976589,0.07290817797184,0.0625
"COG",0.276611905545,0.045607540756464,0.096450380980968,0.081752292811871,0.052801690995693
"COL",0.48949392139912,0.11693494021893,0.10329802334309,0.13145245611668,0.13780850172043
"COM",0.25417444482446,0.036451835185289,0.11088395863771,0.066373735666275,0.040464915335178
"CPV",0.43258749693632,0.084030240774155,0.11245388537645,0.11639027297497,0.11971309781075
"CRI",0.54015178233385,0.11969991773367,0.13248217105865,0.13781125843525,0.15015843510628
"CYP",0.63239379227161,0.1687947511673,0.15463767945766,0.14401982724667,0.16494153439999
"CZE",0.6462222635746,0.169324234128,0.15890319645405,0.15549390017986,0.16250093281269
"DEU",0.75332881510258,0.18530781567097,0.17900575697422,0.1847433000803,0.20427194237709
"DJI",0.31889721751213,0.056495480239391,0.12005430459976,0.087826050817966,0.054521381855011
"DNK",0.7785222530365,0.20180732011795,0.18168471753597,0.17677499353886,0.21825522184372
"DOM",0.46881140768528,0.092551022768021,0.13091138005257,0.12067542970181,0.12467357516289
"DZA",0.3704386651516,0.082907736301422,0.074606649577618,0.13887116312981,0.07405311614275
"ECU",0.4420759677887,0.10049203783274,0.092175871133804,0.12081720679998,0.12859085202217
"EGY",0.39405445754528,0.091216824948788,0.10302583873272,0.11584154516459,0.083970248699188
"ESP",0.64833119511604,0.16955207288265,0.15794710814953,0.14982847869396,0.1710035353899
"EST",0.76438219845295,0.2017670571804,0.15907716751099,0.18495315313339,0.21858482062817
"ETH",0.25359724834561,0.051120802760124,0.069385670125484,0.06193008646369,0.071160688996315
"FIN",0.75801736116409,0.18607866764069,0.17339795827866,0.1681006103754,0.23044012486935
"FJI",0.44881195574999,0.087259881198406,0.11253979802132,0.1336997449398,0.11531253159046
"FRA",0.69750864803791,0.18178890645504,0.17228455841541,0.1621610969305,0.18127408623695
"GAB",0.32252930104733,0.076041668653488,0.079102985560894,0.096237435936928,0.071147210896015
"GBR",0.73094530403614,0.18156261742115,0.16298899054527,0.1732160449028,0.21317765116692
"GEO",0.52989356964827,0.12090872973204,0.13233087956905,0.13217952847481,0.14447443187237
"GHA",0.42519968003035,0.088655404746532,0.088968478143215,0.11373325437307,0.13384254276752
"GIN",0.32352608814836,0.055005077272654,0.07930101454258,0.11629898846149,0.072921007871628
"GMB",0.35997624322772,0.049990605562925,0.097480267286301,0.11953814327717,0.092967227101326
"GNB",0.26489874348044,0.040040176361799,0.11942091584206,0.041767321527004,0.063670329749584
"GRC",0.58197875320911,0.15350794792175,0.15433019399643,0.13510471582413,0.1390358954668
"GTM",0.39010570943356,0.077027454972267,0.11577283591032,0.10476835817099,0.092537060379982
